Calling PickFoodCalling CalcBlobCentersCleanInterior: i=0, j=1
CleanInterior: i=5, j=18
CleanInterior: i=5, j=19
CleanInterior: i=5, j=20
CleanInterior: i=5, j=21
CleanInterior: i=5, j=22
CleanInterior: i=5, j=23
CleanInterior: i=5, j=24
CleanInterior: i=5, j=25
CleanInterior: i=5, j=26
CleanInterior: i=5, j=27
CleanInterior: i=5, j=28
CleanInterior: i=5, j=29
CleanInterior: i=5, j=30
CleanInterior: i=5, j=31
CleanInterior: i=5, j=32
CleanInterior: i=5, j=33
CleanInterior: i=5, j=34
CleanInterior: i=5, j=35
CleanInterior: i=5, j=36
CleanInterior: i=5, j=37
CleanInterior: i=5, j=38
CleanInterior: i=5, j=39
CleanInterior: i=5, j=40
CleanInterior: i=5, j=41
CleanInterior: i=5, j=42
CleanInterior: i=6, j=0
CleanInterior: i=6, j=1
CleanInterior: i=6, j=2
CleanInterior: i=6, j=3
CleanInterior: i=6, j=4
CleanInterior: i=6, j=5
CleanInterior: i=6, j=7
CleanInterior: i=6, j=8
CleanInterior: i=6, j=9
CleanInterior: i=6, j=10
CleanInterior: i=6, j=11
CleanInterior: i=6, j=12
CleanInterior: i=6, j=13
CleanInterior: i=6, j=14
CleanInterior: i=6, j=15
CleanInterior: i=6, j=16
CleanInterior: i=6, j=17
CleanInterior: i=6, j=18
CleanInterior: i=6, j=19
CleanInterior: i=6, j=20
CleanInterior: i=6, j=21
CleanInterior: i=6, j=22
CleanInterior: i=6, j=23
CleanInterior: i=6, j=24
CleanInterior: i=6, j=25
CleanInterior: i=6, j=26
CleanInterior: i=6, j=27
CleanInterior: i=6, j=28
CleanInterior: i=6, j=29
CleanInterior: i=6, j=30
CleanInterior: i=6, j=31
CleanInterior: i=6, j=32
CleanInterior: i=6, j=33
CleanInterior: i=6, j=34
CleanInterior: i=6, j=35
CleanInterior: i=6, j=36
CleanInterior: i=6, j=37
CleanInterior: i=6, j=38
CleanInterior: i=6, j=39
CleanInterior: i=6, j=40
CleanInterior: i=6, j=41
CleanInterior: i=6, j=42
CleanInterior: i=7, j=0
CleanInterior: i=7, j=1
CleanInterior: i=7, j=2
CleanInterior: i=7, j=3
CleanInterior: i=7, j=4
CleanInterior: i=7, j=5
CleanInterior: i=7, j=6
CleanInterior: i=7, j=8
CleanInterior: i=7, j=9
CleanInterior: i=7, j=10
CleanInterior: i=7, j=11
CleanInterior: i=7, j=12
CleanInterior: i=7, j=13
CleanInterior: i=7, j=14
CleanInterior: i=7, j=15
CleanInterior: i=7, j=16
CleanInterior: i=7, j=17
CleanInterior: i=7, j=18
CleanInterior: i=7, j=19
CleanInterior: i=7, j=20
CleanInterior: i=7, j=21
CleanInterior: i=7, j=22
CleanInterior: i=7, j=23
CleanInterior: i=7, j=24
CleanInterior: i=7, j=25
CleanInterior: i=7, j=26
CleanInterior: i=7, j=27
CleanInterior: i=7, j=28
CleanInterior: i=7, j=29
CleanInterior: i=7, j=30
CleanInterior: i=7, j=31
CleanInterior: i=7, j=32
CleanInterior: i=7, j=33
CleanInterior: i=7, j=34
CleanInterior: i=7, j=35
CleanInterior: i=7, j=36
CleanInterior: i=7, j=37
CleanInterior: i=7, j=38
CleanInterior: i=7, j=39
CleanInterior: i=7, j=40
CleanInterior: i=7, j=41
CleanInterior: i=7, j=42
CleanInterior: i=8, j=0
CleanInterior: i=8, j=1
CleanInterior: i=8, j=2
CleanInterior: i=8, j=3
CleanInterior: i=8, j=4
CleanInterior: i=8, j=5
CleanInterior: i=8, j=6
CleanInterior: i=8, j=7
CleanInterior: i=8, j=9
CleanInterior: i=8, j=10
CleanInterior: i=8, j=11
CleanInterior: i=8, j=12
CleanInterior: i=8, j=13
CleanInterior: i=8, j=14
CleanInterior: i=8, j=15
CleanInterior: i=8, j=16
CleanInterior: i=8, j=17
CleanInterior: i=8, j=18
CleanInterior: i=8, j=19
CleanInterior: i=8, j=20
CleanInterior: i=8, j=21
CleanInterior: i=8, j=22
CleanInterior: i=8, j=23
CleanInterior: i=8, j=24
CleanInterior: i=8, j=25
CleanInterior: i=8, j=26
CleanInterior: i=8, j=27
CleanInterior: i=8, j=28
CleanInterior: i=8, j=29
CleanInterior: i=8, j=30
CleanInterior: i=8, j=31
CleanInterior: i=8, j=32
CleanInterior: i=8, j=33
CleanInterior: i=8, j=34
CleanInterior: i=8, j=35
CleanInterior: i=8, j=36
CleanInterior: i=8, j=37
CleanInterior: i=8, j=38
CleanInterior: i=8, j=39
CleanInterior: i=8, j=40
CleanInterior: i=8, j=41
CleanInterior: i=8, j=42
CleanInterior: i=9, j=0
CleanInterior: i=9, j=1
CleanInterior: i=9, j=2
CleanInterior: i=9, j=3
CleanInterior: i=9, j=4
CleanInterior: i=9, j=5
CleanInterior: i=9, j=6
CleanInterior: i=9, j=7
CleanInterior: i=9, j=8
CleanInterior: i=9, j=10
CleanInterior: i=9, j=11
CleanInterior: i=9, j=12
CleanInterior: i=9, j=13
CleanInterior: i=9, j=14
CleanInterior: i=9, j=15
CleanInterior: i=9, j=16
CleanInterior: i=9, j=17
CleanInterior: i=9, j=18
CleanInterior: i=9, j=19
CleanInterior: i=9, j=20
CleanInterior: i=9, j=21
CleanInterior: i=9, j=22
CleanInterior: i=9, j=23
CleanInterior: i=9, j=24
CleanInterior: i=9, j=25
CleanInterior: i=9, j=26
CleanInterior: i=9, j=27
CleanInterior: i=9, j=28
CleanInterior: i=9, j=29
CleanInterior: i=9, j=30
CleanInterior: i=9, j=31
CleanInterior: i=9, j=32
CleanInterior: i=9, j=33
CleanInterior: i=9, j=34
CleanInterior: i=9, j=35
CleanInterior: i=9, j=36
CleanInterior: i=9, j=37
CleanInterior: i=9, j=38
CleanInterior: i=9, j=39
CleanInterior: i=9, j=40
CleanInterior: i=9, j=41
CleanInterior: i=9, j=42
CleanInterior: i=10, j=0
CleanInterior: i=10, j=1
CleanInterior: i=10, j=2
CleanInterior: i=10, j=3
CleanInterior: i=10, j=4
CleanInterior: i=10, j=5
CleanInterior: i=10, j=6
CleanInterior: i=10, j=7
CleanInterior: i=10, j=8
CleanInterior: i=10, j=9
CleanInterior: i=10, j=11
CleanInterior: i=10, j=12
CleanInterior: i=10, j=13
CleanInterior: i=10, j=14
CleanInterior: i=10, j=15
CleanInterior: i=10, j=16
CleanInterior: i=10, j=17
CleanInterior: i=10, j=18
CleanInterior: i=10, j=19
CleanInterior: i=10, j=20
CleanInterior: i=10, j=21
CleanInterior: i=10, j=22
CleanInterior: i=10, j=23
CleanInterior: i=10, j=24
CleanInterior: i=10, j=25
CleanInterior: i=10, j=26
CleanInterior: i=10, j=27
CleanInterior: i=10, j=28
CleanInterior: i=10, j=29
CleanInterior: i=10, j=30
CleanInterior: i=10, j=31
CleanInterior: i=10, j=32
CleanInterior: i=10, j=33
CleanInterior: i=10, j=34
CleanInterior: i=10, j=35
CleanInterior: i=10, j=36
CleanInterior: i=10, j=37
CleanInterior: i=10, j=38
CleanInterior: i=10, j=39
CleanInterior: i=10, j=40
CleanInterior: i=10, j=41
CleanInterior: i=10, j=42
CleanInterior: i=11, j=0
CleanInterior: i=11, j=1
CleanInterior: i=11, j=2
CleanInterior: i=11, j=3
CleanInterior: i=11, j=4
CleanInterior: i=11, j=5
CleanInterior: i=11, j=6
CleanInterior: i=11, j=7
CleanInterior: i=11, j=8
CleanInterior: i=11, j=9
CleanInterior: i=11, j=10
CleanInterior: i=11, j=12
CleanInterior: i=11, j=13
CleanInterior: i=11, j=14
CleanInterior: i=11, j=15
CleanInterior: i=11, j=16
CleanInterior: i=11, j=17
CleanInterior: i=11, j=18
CleanInterior: i=11, j=19
CleanInterior: i=11, j=20
CleanInterior: i=11, j=21
CleanInterior: i=11, j=22
CleanInterior: i=11, j=23
CleanInterior: i=11, j=24
CleanInterior: i=11, j=25
CleanInterior: i=11, j=26
CleanInterior: i=11, j=27
CleanInterior: i=11, j=28
CleanInterior: i=11, j=29
CleanInterior: i=11, j=30
CleanInterior: i=11, j=31
CleanInterior: i=11, j=32
CleanInterior: i=11, j=33
CleanInterior: i=11, j=34
CleanInterior: i=11, j=35
CleanInterior: i=11, j=36
CleanInterior: i=11, j=37
CleanInterior: i=11, j=38
CleanInterior: i=11, j=39
CleanInterior: i=11, j=40
CleanInterior: i=11, j=41
CleanInterior: i=11, j=42
CleanInterior: i=12, j=0
CleanInterior: i=12, j=1
CleanInterior: i=12, j=2
CleanInterior: i=12, j=3
CleanInterior: i=12, j=4
CleanInterior: i=12, j=5
CleanInterior: i=12, j=6
CleanInterior: i=12, j=7
CleanInterior: i=12, j=8
CleanInterior: i=12, j=9
CleanInterior: i=12, j=10
CleanInterior: i=12, j=11
CleanInterior: i=12, j=13
CleanInterior: i=12, j=14
CleanInterior: i=12, j=15
CleanInterior: i=12, j=16
CleanInterior: i=12, j=17
CleanInterior: i=12, j=18
CleanInterior: i=12, j=19
CleanInterior: i=12, j=20
CleanInterior: i=12, j=21
CleanInterior: i=12, j=22
CleanInterior: i=12, j=23
CleanInterior: i=12, j=24
CleanInterior: i=12, j=25
CleanInterior: i=12, j=26
CleanInterior: i=12, j=27
CleanInterior: i=12, j=28
CleanInterior: i=12, j=29
CleanInterior: i=12, j=30
CleanInterior: i=12, j=31
CleanInterior: i=12, j=32
CleanInterior: i=12, j=33
CleanInterior: i=12, j=34
CleanInterior: i=12, j=35
CleanInterior: i=12, j=36
CleanInterior: i=12, j=37
CleanInterior: i=12, j=38
CleanInterior: i=12, j=39
CleanInterior: i=12, j=40
CleanInterior: i=12, j=41
CleanInterior: i=12, j=42
REMOVED: j=2, ConnectedColor:221,225,208, XY:1174,799
REMOVED: j=2, ConnectedColor:221,225,208, XY:1176,799
REMOVED: j=2, ConnectedColor:221,225,208, XY:1173,800
REMOVED: j=2, ConnectedColor:221,225,208, XY:1176,800
REMOVED: j=2, ConnectedColor:221,225,208, XY:1173,801
REMOVED: j=2, ConnectedColor:221,225,208, XY:1175,801
REMOVED: j=2, ConnectedColor:221,225,208, XY:1173,802
REMOVED: j=2, ConnectedColor:221,225,208, XY:1175,802
REMOVED: j=2, ConnectedColor:221,225,208, XY:1173,803
REMOVED: j=2, ConnectedColor:221,225,208, XY:1175,803
REMOVED: j=2, ConnectedColor:221,225,208, XY:1173,804
REMOVED: j=2, ConnectedColor:221,225,208, XY:1175,804
REMOVED: j=1, ConnectedColor:195,21,58, XY:1236,804
REMOVED: j=1, ConnectedColor:195,21,58, XY:1250,804
REMOVED: j=2, ConnectedColor:221,225,208, XY:1172,805
REMOVED: j=2, ConnectedColor:221,225,208, XY:1175,805
REMOVED: j=1, ConnectedColor:195,21,58, XY:1182,805
REMOVED: j=1, ConnectedColor:195,21,58, XY:1250,805
REMOVED: j=2, ConnectedColor:221,225,208, XY:1171,806
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,806
REMOVED: j=1, ConnectedColor:195,21,58, XY:1182,806
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,806
REMOVED: j=0, ConnectedColor:193,173,211, XY:1126,807
REMOVED: j=0, ConnectedColor:193,173,211, XY:1164,807
REMOVED: j=2, ConnectedColor:221,225,208, XY:1171,807
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,807
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,807
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,807
REMOVED: j=0, ConnectedColor:193,173,211, XY:1109,808
REMOVED: j=0, ConnectedColor:193,173,211, XY:1167,808
REMOVED: j=2, ConnectedColor:221,225,208, XY:1170,808
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,808
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,808
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,808
REMOVED: j=0, ConnectedColor:193,173,211, XY:1103,809
REMOVED: j=0, ConnectedColor:193,173,211, XY:1167,809
REMOVED: j=2, ConnectedColor:221,225,208, XY:1170,809
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,809
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,809
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,809
REMOVED: j=0, ConnectedColor:193,173,211, XY:1079,810
REMOVED: j=0, ConnectedColor:193,173,211, XY:1167,810
REMOVED: j=2, ConnectedColor:221,225,208, XY:1170,810
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,810
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,810
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,810
REMOVED: j=0, ConnectedColor:193,173,211, XY:1078,811
REMOVED: j=0, ConnectedColor:193,173,211, XY:1167,811
REMOVED: j=2, ConnectedColor:221,225,208, XY:1170,811
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,811
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,811
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,811
REMOVED: j=0, ConnectedColor:193,173,211, XY:1075,812
REMOVED: j=0, ConnectedColor:193,173,211, XY:1166,812
REMOVED: j=2, ConnectedColor:221,225,208, XY:1169,812
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,812
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,812
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,812
REMOVED: j=0, ConnectedColor:193,173,211, XY:1075,813
REMOVED: j=0, ConnectedColor:193,173,211, XY:1166,813
REMOVED: j=2, ConnectedColor:221,225,208, XY:1168,813
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,813
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,813
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,813
REMOVED: j=0, ConnectedColor:193,173,211, XY:1072,814
REMOVED: j=0, ConnectedColor:193,173,211, XY:1166,814
REMOVED: j=2, ConnectedColor:221,225,208, XY:1168,814
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,814
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,814
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,814
REMOVED: j=0, ConnectedColor:193,173,211, XY:1072,815
REMOVED: j=0, ConnectedColor:193,173,211, XY:1165,815
REMOVED: j=2, ConnectedColor:221,225,208, XY:1168,815
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,815
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,815
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,815
REMOVED: j=0, ConnectedColor:193,173,211, XY:1071,816
REMOVED: j=0, ConnectedColor:193,173,211, XY:1165,816
REMOVED: j=2, ConnectedColor:221,225,208, XY:1167,816
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,816
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,816
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,816
REMOVED: j=0, ConnectedColor:193,173,211, XY:1070,817
REMOVED: j=0, ConnectedColor:193,173,211, XY:1164,817
REMOVED: j=2, ConnectedColor:221,225,208, XY:1167,817
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,817
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,817
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,817
REMOVED: j=0, ConnectedColor:193,173,211, XY:1070,818
REMOVED: j=0, ConnectedColor:193,173,211, XY:1163,818
REMOVED: j=2, ConnectedColor:221,225,208, XY:1166,818
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,818
REMOVED: j=1, ConnectedColor:195,21,58, XY:1179,818
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,818
REMOVED: j=0, ConnectedColor:193,173,211, XY:1069,819
REMOVED: j=0, ConnectedColor:193,173,211, XY:1163,819
REMOVED: j=2, ConnectedColor:221,225,208, XY:1166,819
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,819
REMOVED: j=1, ConnectedColor:195,21,58, XY:1181,819
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,819
REMOVED: j=0, ConnectedColor:193,173,211, XY:1068,820
REMOVED: j=0, ConnectedColor:193,173,211, XY:1163,820
REMOVED: j=2, ConnectedColor:221,225,208, XY:1166,820
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,820
REMOVED: j=1, ConnectedColor:195,21,58, XY:1181,820
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,820
REMOVED: j=0, ConnectedColor:193,173,211, XY:1067,821
REMOVED: j=0, ConnectedColor:193,173,211, XY:1162,821
REMOVED: j=2, ConnectedColor:221,225,208, XY:1165,821
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,821
REMOVED: j=1, ConnectedColor:195,21,58, XY:1181,821
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,821
REMOVED: j=0, ConnectedColor:193,173,211, XY:1066,822
REMOVED: j=0, ConnectedColor:193,173,211, XY:1162,822
REMOVED: j=2, ConnectedColor:221,225,208, XY:1165,822
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,822
REMOVED: j=1, ConnectedColor:195,21,58, XY:1181,822
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,822
REMOVED: j=0, ConnectedColor:193,173,211, XY:1066,823
REMOVED: j=0, ConnectedColor:193,173,211, XY:1161,823
REMOVED: j=2, ConnectedColor:221,225,208, XY:1164,823
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,823
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,823
REMOVED: j=1, ConnectedColor:195,21,58, XY:1249,823
REMOVED: j=0, ConnectedColor:193,173,211, XY:1066,824
REMOVED: j=0, ConnectedColor:193,173,211, XY:1161,824
REMOVED: j=2, ConnectedColor:221,225,208, XY:1164,824
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,824
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,824
REMOVED: j=1, ConnectedColor:195,21,58, XY:1250,824
REMOVED: j=0, ConnectedColor:193,173,211, XY:1064,825
REMOVED: j=0, ConnectedColor:193,173,211, XY:1161,825
REMOVED: j=2, ConnectedColor:221,225,208, XY:1163,825
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,825
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,825
REMOVED: j=1, ConnectedColor:195,21,58, XY:1250,825
REMOVED: j=0, ConnectedColor:193,173,211, XY:1062,826
REMOVED: j=0, ConnectedColor:193,173,211, XY:1160,826
REMOVED: j=2, ConnectedColor:221,225,208, XY:1163,826
REMOVED: j=2, ConnectedColor:221,225,208, XY:1177,826
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,826
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,826
REMOVED: j=0, ConnectedColor:193,173,211, XY:1062,827
REMOVED: j=0, ConnectedColor:193,173,211, XY:1159,827
REMOVED: j=2, ConnectedColor:221,225,208, XY:1162,827
REMOVED: j=2, ConnectedColor:221,225,208, XY:1178,827
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,827
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,827
REMOVED: j=0, ConnectedColor:193,173,211, XY:1061,828
REMOVED: j=0, ConnectedColor:193,173,211, XY:1158,828
REMOVED: j=2, ConnectedColor:221,225,208, XY:1162,828
REMOVED: j=2, ConnectedColor:221,225,208, XY:1178,828
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,828
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,828
REMOVED: j=0, ConnectedColor:193,173,211, XY:1059,829
REMOVED: j=0, ConnectedColor:193,173,211, XY:1158,829
REMOVED: j=2, ConnectedColor:221,225,208, XY:1161,829
REMOVED: j=2, ConnectedColor:221,225,208, XY:1178,829
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,829
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,829
REMOVED: j=0, ConnectedColor:193,173,211, XY:1057,830
REMOVED: j=0, ConnectedColor:193,173,211, XY:1158,830
REMOVED: j=2, ConnectedColor:221,225,208, XY:1161,830
REMOVED: j=2, ConnectedColor:221,225,208, XY:1178,830
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,830
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,830
REMOVED: j=0, ConnectedColor:193,173,211, XY:1056,831
REMOVED: j=0, ConnectedColor:193,173,211, XY:1158,831
REMOVED: j=2, ConnectedColor:221,225,208, XY:1160,831
REMOVED: j=2, ConnectedColor:221,225,208, XY:1178,831
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,831
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,831
REMOVED: j=0, ConnectedColor:193,173,211, XY:1055,832
REMOVED: j=0, ConnectedColor:193,173,211, XY:1156,832
REMOVED: j=2, ConnectedColor:221,225,208, XY:1160,832
REMOVED: j=2, ConnectedColor:221,225,208, XY:1178,832
REMOVED: j=1, ConnectedColor:195,21,58, XY:1180,832
REMOVED: j=1, ConnectedColor:195,21,58, XY:1251,832
REMOVED: j=0, ConnectedColor:193,173,211, XY:1054,833
